#Samples have International Geo Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Locality,Country,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type,Physiographic_Feature_Name,State_or_Province
SPS_0041_RNA,IEPRS00B1,IEPRS008B,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.082159,-120.733369,stream,S29R,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-08-31,https://www.pnnl.gov/projects/river-corridor,regular URL,Taneum Creek,Washington
SPS_0042,IEPRS009F,IEPRS0080,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.258225,-120.904118,stream,S19,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,West Fork Teanaway River,Washington
SPS_0042_RNA,IEPRS00AQ,IEPRS0080,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.258225,-120.904118,stream,S19,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,West Fork Teanaway River,Washington
SPS_0043,IEPRS009L,IEPRS0086,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.262537,-120.897057,stream,S25,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Middle Fork Teanaway River,Washington
SPS_0043_RNA,IEPRS00AW,IEPRS0086,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.262537,-120.897057,stream,S25,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Middle Fork Teanaway River,Washington
SPS_0044,IEPRS009G,IEPRS0081,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.255067,-120.878922,stream,S19E,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,North Fork Teanaway River,Washington
SPS_0044_RNA,IEPRS00AR,IEPRS0081,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.255067,-120.878922,stream,S19E,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-08-30,https://www.pnnl.gov/projects/river-corridor,regular URL,North Fork Teanaway River,Washington
SPS_0045,IEPRS009O,IEPRS0089,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.124215,-120.73804,stream,S28R,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-09-01,https://www.pnnl.gov/projects/river-corridor,regular URL,Swauk Creek,Washington
SPS_0045_RNA,IEPRS00AZ,IEPRS0089,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.124215,-120.73804,stream,S28R,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-09-01,https://www.pnnl.gov/projects/river-corridor,regular URL,Swauk Creek,Washington
SPS_0046,IEPRS009P,IEPRS008A,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.123516,-120.73817,stream,S28RE,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-09-01,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0046_RNA,IEPRS00B0,IEPRS008A,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.123516,-120.73817,stream,S28RE,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-09-01,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0047,IEPRS00A6,IEPRS008R,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.968185,-120.691204,stream,S71,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Manastash Creek,Washington
SPS_0047_RNA,IEPRS00BH,IEPRS008R,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.968185,-120.691204,stream,S71,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Manastash Creek,Washington
SPS_0048,IEPRS00A8,IEPRS008T,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.98778012,-120.5710861,stream,S73,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0048_RNA,IEPRS00BJ,IEPRS008T,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.98778012,-120.5710861,stream,S73,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-09-02,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0049,IEPRS00A7,IEPRS008S,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.99491,-120.590443,stream,S72,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,Manastash Creek,Washington
SPS_0049_RNA,IEPRS00BI,IEPRS008S,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.99491,-120.590443,stream,S72,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,Manastash Creek,Washington
SPS_0050,IEPRS00A9,IEPRS008U,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,47.017577,-120.51748,stream,S75,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,Wilson Creek,Washington
SPS_0050_RNA,IEPRS00BK,IEPRS008U,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,47.017577,-120.51748,stream,S75,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Sammi_Grieger", 2021-09-03,https://www.pnnl.gov/projects/river-corridor,regular URL,Wilson Creek,Washington
SPS_0053,IEPRS00AH,IEPRS0092,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.255319,-119.47405,stream,T07,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Lupita_Renteria", 2021-09-07,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0053_RNA,IEPRS00BS,IEPRS0092,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.255319,-119.47405,stream,T07,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Lupita_Renteria", 2021-09-07,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0054,IEPRS00AE,IEPRS008Z,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.232095,-119.999901,stream,T02,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Lupita_Renteria", 2021-09-07,https://www.pnnl.gov/projects/river-corridor,regular URL,NA,NA
SPS_0054_RNA,IEPRS00BP,IEPRS008Z,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.232095,-119.999901,stream,T02,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Lupita_Renteria", 2021-09-07,https://www.pnnl.gov/projects/river-corridor,regular URL,NA,NA
SPS_0055,IEPRS00AF,IEPRS0090,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.530817,-120.470337,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Lupita_Renteria", 2021-09-08,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0055_RNA,IEPRS00BQ,IEPRS0090,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.530817,-120.470337,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Lupita_Renteria", 2021-09-08,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
SPS_0056,IEPRS00AG,IEPRS0091,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.728776,-120.713733,stream,T05,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Lupita_Renteria", 2021-09-08,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
SPS_0056_RNA,IEPRS00BR,IEPRS0091,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.728776,-120.713733,stream,T05,United States,US Department of Energy River Corridor Science Focus Area,"Sophia_McKever, Lupita_Renteria", 2021-09-08,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
SPS_0057,IEPRS0097,IEPRS007S,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.832844,-120.710935,stream,W20,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Morgan_Barnes", 2021-09-14,https://www.pnnl.gov/projects/river-corridor,regular URL,Wenas Creek,Washington
SPS_0057_RNA,IEPRS00AI,IEPRS007S,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.832844,-120.710935,stream,W20,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Morgan_Barnes", 2021-09-14,https://www.pnnl.gov/projects/river-corridor,regular URL,Wenas Creek,Washington
SPS_0058,IEPRS0098,IEPRS007T,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.867453,-120.77439,stream,W10,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Morgan_Barnes", 2021-09-15,https://www.pnnl.gov/projects/river-corridor,regular URL,Wenas Creek,Washington
SPS_0058_RNA,IEPRS00AJ,IEPRS007T,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.867453,-120.77439,stream,W10,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Morgan_Barnes", 2021-09-14,https://www.pnnl.gov/projects/river-corridor,regular URL,Wenas Creek,Washington
SPS_0059,IEPRS0099,IEPRS007U,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 2021 Spatial Study,46.898642,-120.642233,stream,U20,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Morgan_Barnes", 2021-09-15,https://www.pnnl.gov/projects/river-corridor,regular URL,Umtanum Creek,Washington
SPS_0059_RNA,IEPRS00AK,IEPRS007U,Other,Filter,Grab,"0.22 micron filter used for collecting filtered surface water samples and preserved with ""RNAlater"" for future microbial analysis",RC2 2021 Spatial Study,46.898642,-120.642233,stream,U20,United States,US Department of Energy River Corridor Science Focus Area,"Lupita_Renteria, Morgan_Barnes", 2021-09-15,https://www.pnnl.gov/projects/river-corridor,regular URL,Umtanum Creek,Washington
