#Columns,16,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,
Field_Name,Sample_Name,Material,00000_NH4_mg_per_L_as_NH4,71870_Br_mg_per_L,00915_Ca_mg_per_L,00940_Cl_mg_per_L,00950_F_mg_per_L,01130_Li_mg_per_L,00925_Mg_mg_per_L,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00653_PO4_mg_per_L_as_PO4,00935_K_mg_per_L,00930_Na_mg_per_L,00945_SO4_mg_per_L_as_SO4,Methods_Deviation
N/A,SPS_0045_ION-2,Liquid>aqueous,-9999,Bromide_0.157_ppm_Below_0.16_ppm,13,8.16,0.16,-9999,5.8,0.03,0.02,-9999,1.19,8.35,1.35,DTL_000
N/A,SPS_0045_ION-3,Liquid>aqueous,-9999,Bromide_0.00738_ppm_Below_LOD_0.0084_ppm,11.9,7.97,0.16,-9999,5.9,0.05,0.02,-9999,1.2,8.35,1.33,DTL_000
N/A,SPS_0046_ION-1,Liquid>aqueous,-9999,Bromide_0.179_ppm_Below_LOD_0.0084_ppm,6.96,1.26,Fluoride_0.101_ppm_Below_0.13_ppm,-9999,2.46,0.06,0.04,-9999,0.36,1.59,0.66,DTL_000
N/A,SPS_0046_ION-2,Liquid>aqueous,-9999,0.06,7.49,1.21,Fluoride_0.0964_ppm_Below_0.1_ppm,-9999,2.67,0.11,0.02,-9999,0.41,1.79,0.62,DTL_000
N/A,SPS_0046_ION-3,Liquid>aqueous,-9999,Bromide_0.0522_ppm_Below_0.056_ppm,7.22,1.78,0.11,-9999,2.75,0.08,0.02,-9999,0.42,1.78,0.63,DTL_000
N/A,SPS_0047_ION-1,Liquid>aqueous,-9999,Bromide_0.159_ppm_Below_0.16_ppm,9.22,1.41,0.13,-9999,3.68,0.04,0.02,0.52,1.26,3.2,0.87,Ca_CV_030; Cl_CV_030; Mg_CV_030; K_CV_030; DTL_000
N/A,SPS_0047_ION-2,Liquid>aqueous,-9999,-9999,4.88,0.99,Fluoride_0.0733_ppm_Below_0.12_ppm,-9999,1.92,-9999,-9999,-9999,0.66,1.74,0.72,Ca_CV_030; Cl_CV_030; Mg_CV_030; K_CV_030; DTL_000
N/A,SPS_0047_ION-3,Liquid>aqueous,-9999,0.06,10.1,0.59,0.13,-9999,3.76,0.11,0.02,-9999,1.39,3.37,0.86,Ca_CV_030; Cl_CV_030; Mg_CV_030; K_CV_030
N/A,SPS_0048_ION-1,Liquid>aqueous,-9999,0.09,8.26,1.7,0.06,-9999,3.02,0.24,0.03,-9999,0.42,2.21,0.84,Ca_CV_030; Cl_CV_030; Mg_CV_030; K_CV_030
N/A,SPS_0048_ION-2,Liquid>aqueous,-9999,0.14,7.51,2.25,0.05,-9999,2.83,0.2,0.02,-9999,0.41,2,0.77,Ca_CV_030; Cl_CV_030; Mg_CV_030; K_CV_030
N/A,SPS_0048_ION-3,Liquid>aqueous,-9999,-9999,3.13,1.09,Fluoride_0.0367_ppm_Below_0.12_ppm,-9999,1.08,0.02,-9999,-9999,0.16,0.72,0.47,Ca_CV_030; Cl_CV_030; Mg_CV_030; K_CV_030; DTL_000
N/A,SPS_0049_ION-1,Liquid>aqueous,-9999,0.09,3.87,1.41,Fluoride_0.0497_ppm_Below_0.12_ppm,-9999,1.15,0.21,-9999,-9999,0.31,1.02,0.88,Ca_CV_030; F_CV_030; Mg_CV_030; K_CV_030; DTL_000
N/A,SPS_0049_ION-2,Liquid>aqueous,-9999,0.35,8.4,1.81,Fluoride_0.121_ppm_Below_0.13_ppm,-9999,2.44,0.42,0.04,0.56,0.8,2.35,1.44,Ca_CV_030; F_CV_030; Mg_CV_030; K_CV_030; DTL_000
N/A,SPS_0049_ION-3,Liquid>aqueous,-9999,0.25,8.83,1.67,0.1,-9999,2.63,0.49,0.02,0.33,0.88,2.6,1.19,Ca_CV_030; F_CV_030; Mg_CV_030; K_CV_030
N/A,SPS_0050_ION-1,Liquid>aqueous,-9999,Bromide_0.0534_ppm_Below_0.056_ppm,11.9,3,0.13,-9999,3.58,0.09,0.02,0.37,2.03,3.51,1.89,DTL_000
N/A,SPS_0050_ION-2,Liquid>aqueous,-9999,Bromide_0.188_ppm_Below_LOD_0.0084_ppm,11.8,3.87,0.15,-9999,3.66,0.09,0.04,0.62,2.03,3.51,2.09,DTL_000
N/A,SPS_0050_ION-3,Liquid>aqueous,-9999,Bromide_0.155_ppm_Below_0.16_ppm,11.5,2.97,0.14,-9999,3.3,0.03,0.02,0.54,1.6,2.86,1.82,DTL_000
N/A,SPS_0053_ION-1,Liquid>aqueous,-9999,2.17,19.6,8.36,0.2,-9999,8.72,3.5,0.01,0.8,2.37,12.3,14.5,VI_ION_001
N/A,SPS_0053_ION-2,Liquid>aqueous,-9999,2.21,14.3,8.24,0.22,-9999,8.86,3.6,-9999,0.78,2.48,12.4,14.8,N/A
N/A,SPS_0053_ION-3,Liquid>aqueous,-9999,2.42,15.5,8.97,0.19,-9999,9.45,3.94,-9999,-9999,2.67,13.5,15.9,N/A
N/A,SPS_0054_ION-1,Liquid>aqueous,-9999,1.49,14.7,5.44,0.23,-9999,4.98,2.41,0.02,0.82,1.42,6.99,6.66,F_CV_030; SO4_CV_030; VI_ION_001
N/A,SPS_0054_ION-2,Liquid>aqueous,-9999,1.93,11.7,7.4,0.41,-9999,5.99,3.11,0.02,-9999,1.95,9.2,8.78,F_CV_030; SO4_CV_030; VI_ION_001
N/A,SPS_0054_ION-3,Liquid>aqueous,-9999,2.62,15.4,8.01,0.18,-9999,8.09,4.22,0,0.81,2.3,12,13.2,F_CV_030; SO4_CV_030; VI_ION_001
N/A,SPS_0055_ION-1,Liquid>aqueous,-9999,0.38,8.88,4.21,0.18,-9999,3.69,0.49,0.01,0.81,1.12,5.2,3.2,VI_ION_001
N/A,SPS_0055_ION-2,Liquid>aqueous,-9999,0.37,10.8,3.73,0.16,-9999,3.87,0.49,-9999,0.81,1.24,5.34,3.24,VI_ION_001
N/A,SPS_0055_ION-3,Liquid>aqueous,-9999,0.31,8.48,2.99,0.14,-9999,2.98,0.35,0.01,-9999,0.84,3.84,2.36,N/A
N/A,SPS_0056_ION-1,Liquid>aqueous,-9999,0.16,8.01,2.78,0.17,-9999,1.94,0.04,0.01,-9999,0.85,3.24,2.98,VI_ION_002; NO3_CV_030; Na_CV_030
N/A,SPS_0056_ION-2,Liquid>aqueous,-9999,Bromide_0.158_ppm_Below_0.16_ppm,6.53,2.14,0.14,-9999,1.31,0.02,0.01,-9999,0.57,2.06,1.98,VI_ION_001; NO3_CV_030; Na_CV_030; DTL_000
N/A,SPS_0056_ION-3,Liquid>aqueous,-9999,Bromide_0.00801_ppm_Below_LOD_0.0084_ppm,7.96,2.72,0.15,-9999,2.04,0.05,-9999,-9999,1,3.43,3.13,VI_ION_001; DTL_000
N/A,SPS_0057_ION-1,Liquid>aqueous,-9999,0.16,13.5,1.57,0.22,-9999,9.01,0.06,-9999,0.84,3.55,8.78,2.14,N/A
N/A,SPS_0057_ION-3,Liquid>aqueous,-9999,Bromide_0.00595_ppm_Below_LOD_0.0084_ppm,13.9,1.36,0.2,-9999,7.73,0.05,-9999,0.84,2.99,7.32,2.22,DTL_000
N/A,SPS_0058_ION-1,Liquid>aqueous,-9999,Bromide_0.00596_ppm_Below_LOD_0.0084_ppm,11.1,0.8,0.16,-9999,6.24,0.04,-9999,0.82,2.24,5.19,0.88,SO4_CV_030; SO4_CV_030; DTL_000
N/A,SPS_0058_ION-2,Liquid>aqueous,-9999,Bromide_0.152_ppm_Below_0.16_ppm,11.1,0.81,0.16,-9999,6.54,0.03,-9999,0.82,2.3,5.28,2.33,SO4_CV_030; VI_ION_002; SO4_CV_030; DTL_000
N/A,SPS_0058_ION-3,Liquid>aqueous,-9999,Bromide_0.158_ppm_Below_0.16_ppm,11.2,1.15,0.15,-9999,6.04,0.02,-9999,0.83,2.04,4.91,0.89,SO4_CV_030; DTL_000
N/A,SPS_0059_ION-1,Liquid>aqueous,-9999,Bromide_0.153_ppm_Below_0.16_ppm,15.1,2.22,0.25,-9999,10.8,0.04,-9999,0.84,4.46,9.98,1.09,DTL_000
N/A,SPS_0059_ION-2,Liquid>aqueous,-9999,-9999,14.6,2.1,0.23,-9999,10.4,-9999,-9999,0.84,4.37,9.83,1.03,N/A
N/A,SPS_0059_ION-3,Liquid>aqueous,-9999,0.16,17,2.35,0.26,-9999,10.7,0.07,-9999,0.86,4.46,9.98,1.2,N/A
#End_Data,,,,,,,,,,,,,,,,
