"Removed St. Dev from Devol, means/st dev Quay,  small/medium/large rivers from ellis, genzoli and hall plot digitizer, gagne-maynard - might be same data as Ward 2018, take out Ward 2018 averages",,,,,,,,,,,,,,,,,,,,
Paper,River,Basin/Station,Reported_Value,Units,Rate_Conversion,Depth,Depth_Units,Respiratory_Quotient,Equation,Conversion,Conversion_Units,Time_Conversion,Time_Conversion_Units,Corrected_Value,Notes,Location_Notes,Respiration_Notes,Conversion_Description,,
Reisinger et al. (2021),St. Joe,,0.65,g O2/m2/d,-1,1.26,m,,,,,,,-0.52,unpublished data in shared drive,Measured 15 rivers that spanned nutrient and turbidity gradient in Western and Midwestern US. ,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Reisinger et al. (2021),Tippecanoe River,,0.37,g O2/m2/d,-1,0.64,m,,,,,,,-0.57,unpublished data in shared drive,Measured 15 rivers that spanned nutrient and turbidity gradient in Western and Midwestern US. ,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Reisinger et al. (2021),Buffalo Fork,,2.91,g O2/m2/d,-1,0.63,m,,,,,,,-4.63,unpublished data in shared drive,Measured 15 rivers that spanned nutrient and turbidity gradient in Western and Midwestern US. ,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Reisinger et al. (2021),Snake River,,0.59,g O2/m2/d,-1,0.98,m,,,,,,,-0.6,unpublished data in shared drive,Measured 15 rivers that spanned nutrient and turbidity gradient in Western and Midwestern US. ,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Reisinger et al. (2021),"Green River, WY",,0.07,g O2/m2/d,-1,0.72,m,,,,,,,-0.1,unpublished data in shared drive,Measured 15 rivers that spanned nutrient and turbidity gradient in Western and Midwestern US. ,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Reisinger et al. (2021),Henry's Fork,,0.35,g O2/m2/d,-1,1.37,m,,,,,,,-0.26,unpublished data in shared drive,Measured 15 rivers that spanned nutrient and turbidity gradient in Western and Midwestern US. ,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Reisinger et al. (2021),North Platte River,,0.11,g O2/m2/d,-1,1.05,m,,,,,,,-0.1,unpublished data in shared drive,Measured 15 rivers that spanned nutrient and turbidity gradient in Western and Midwestern US. ,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Reisinger et al. (2021),Bear River,,0.74,g O2/m2/d,-1,0.97,m,,,,,,,-0.76,unpublished data in shared drive,Measured 15 rivers that spanned nutrient and turbidity gradient in Western and Midwestern US. ,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Reisinger et al. (2021),Green River,Ouray,0.75,g O2/m2/d,-1,0.63,m,,,,,,,-1.19,unpublished data in shared drive,Measured 15 rivers that spanned nutrient and turbidity gradient in Western and Midwestern US. ,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Reisinger et al. (2021),Green River,Gray Canyon,1.38,g O2/m2/d,-1,1.89,m,,,,,,,-0.73,unpublished data in shared drive,Measured 15 rivers that spanned nutrient and turbidity gradient in Western and Midwestern US. ,Light-dark bottle incubations useing 300 mL BOD bottles. Respiration rates measured as mean DO from dark bottle minus mean DO in light bottle divided by time. ,"multiply given value by -1 for methodogical differences, divide by depth",,
Ward et al. (2018),Amazon,obidos at 0.66,12.3,g C/m2/d,-1,54,m,0.12,g C/gO2,,,,,-1.9,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,obidos at 0.66,16.9,g C/m2/d,-1,49.3,m,0.12,g C/gO2,,,,,-2.86,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,STM at 0.66,12.1,g C/m2/d,-1,37.3,m,0.12,g C/gO2,,,,,-2.7,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,STM at 0.66,15.2,g C/m2/d,-1,37.3,m,0.12,g C/gO2,,,,,-3.4,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,Almeirim at 0.66,8.6,g C/m2/d,-1,28.1,m,0.12,g C/gO2,,,,,-2.55,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,Almeirim at 0.66,8.1,g C/m2/d,-1,30.6,m,0.12,g C/gO2,,,,,-2.21,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,North Macapa at 0.66,4.8,g C/m2/d,-1,19.4,m,0.12,g C/gO2,,,,,-2.06,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,North Macapa at 0.66,5.5,g C/m2/d,-1,18.3,m,0.12,g C/gO2,,,,,-2.5,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,South Macapa at 0.66,6.9,g C/m2/d,-1,24.6,m,0.12,g C/gO2,,,,,-2.34,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,South Macapa at 0.66,6.2,g C/m2/d,-1,24.3,m,0.12,g C/gO2,,,,,-2.13,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Tapajos,0.66 m/s,12.8,g C/m2/d,-1,23.5,m,0.17,g C/gO2,,,,,-3.2,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Tapajos,0.66 m/s,11.6,g C/m2/d,-1,22.9,m,0.17,g C/gO2,,,,,-2.98,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Xingu,0.66 m/s,8.9,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-3.4,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Xingu,0.66 m/s,6.4,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-2.44,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,obidos at 0.22,7.8,g C/m2/d,-1,51.1,m,0.12,g C/gO2,,,,,-1.27,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,obidos at 0.22,6.7,g C/m2/d,-1,54,m,0.12,g C/gO2,,,,,-1.03,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,obidos at 0.22,9.8,g C/m2/d,-1,49.3,m,0.12,g C/gO2,,,,,-1.66,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,stm at 0.22,6.9,g C/m2/d,-1,37.7,m,0.12,g C/gO2,,,,,-1.53,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,stm at 0.22,8.8,g C/m2/d,-1,37.3,m,0.12,g C/gO2,,,,,-1.97,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,almeirim at 0.22,7.2,g C/m2/d,-1,29,m,0.12,g C/gO2,,,,,-2.07,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,almeirim at 0.22,5.6,g C/m2/d,-1,26.2,m,0.12,g C/gO2,,,,,-1.78,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,almeirim at 0.22,6.2,g C/m2/d,-1,28.1,m,0.12,g C/gO2,,,,,-1.84,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,almeirim at 0.22,5.9,g C/m2/d,-1,30.6,m,0.12,g C/gO2,,,,,-1.61,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,north macapa at 0.22,2.1,g C/m2/d,-1,18.7,m,0.12,g C/gO2,,,,,-0.94,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,north macapa at 0.22,4.5,g C/m2/d,-1,19,m,0.12,g C/gO2,,,,,-1.97,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,north macapa at 0.22,2.3,g C/m2/d,-1,19.4,m,0.12,g C/gO2,,,,,-0.99,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,north macapa at 0.22,2.6,g C/m2/d,-1,18.3,m,0.12,g C/gO2,,,,,-1.18,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,south macapa at 0.22,4.1,g C/m2/d,-1,24.1,m,0.12,g C/gO2,,,,,-1.42,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,south macapa at 0.22,5,g C/m2/d,-1,23.6,m,0.12,g C/gO2,,,,,-1.77,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,south macapa at 0.22,4.6,g C/m2/d,-1,24.6,m,0.12,g C/gO2,,,,,-1.56,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,south macapa at 0.22,4.6,g C/m2/d,-1,24.3,m,0.12,g C/gO2,,,,,-1.58,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Tapajos,0.22 m/s,6,g C/m2/d,-1,24.03,m,0.17,g C/gO2,,,,,-1.47,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Tapajos,0.22 m/s,7.5,g C/m2/d,-1,23.5,m,0.17,g C/gO2,,,,,-1.88,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Tapajos,0.22 m/s,6.4,g C/m2/d,-1,22.9,m,0.17,g C/gO2,,,,,-1.64,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Xingu,0.22 m/s,2.7,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-1.03,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Xingu,0.22 m/s,5,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-1.91,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Xingu,0.22 m/s,6.6,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-2.52,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Xingu,0.22 m/s,4.3,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-1.64,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,obidos no spin,3.6,g C/m2/d,-1,54,m,0.12,g C/gO2,,,,,-0.56,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,obidos no spin,7.2,g C/m2/d,-1,49.3,m,0.12,g C/gO2,,,,,-1.22,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,stm no spin,6.2,g C/m2/d,-1,37.3,m,0.12,g C/gO2,,,,,-1.39,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,almeirim no spin,3.5,g C/m2/d,-1,30.6,m,0.12,g C/gO2,,,,,-0.95,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,north macapa no spin,2.1,g C/m2/d,-1,18.3,m,0.12,g C/gO2,,,,,-0.96,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,south macapa no spin,2.3,g C/m2/d,-1,24.6,m,0.12,g C/gO2,,,,,-0.78,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Amazon,south macapa no spin,3.8,g C/m2/d,-1,24.3,m,0.12,g C/gO2,,,,,-1.3,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Tapajos,no spin,3.6,g C/m2/d,-1,23.5,m,0.17,g C/gO2,,,,,-0.9,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Tapajos,no spin,5.4,g C/m2/d,-1,22.9,m,0.17,g C/gO2,,,,,-1.39,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
Ward et al. (2018),Xingu,no spin,2.8,g C/m2/d,-1,15.4,m,0.17,g C/gO2,,,,,-1.07,,"Four expeditions along lower amazon river during low, rising, high, and falling periods","Biological oxygen consumption measured using BOD bottles with Winkler titration, BOD bottles with YSI probe, and 2.85 L incubation chambers with YSI probe. ","multiply given value by -1 for methodogical differences, divide by depth, divide by drawdown ratio converted from by mole to by g",,
