Name,Unit,Definition,Column_Long_Name,Type,Data_Type
Notes,N/A,Free text field to record notes related to the site visit; including weather; site disturbance; sensor installation difficulties; or other information relevant to the quality of data collected.,Site visit notes,Column header,time
Temperature_Minidot1,Temperature units vary by metric.,Statistical metrics generated for temperature data  collected with Minidot Logger 1 (i.e.; sample) using a specified InstallationMethod_ID. Five metrics were calculated for each sample at every site; including lm_slope; R_square; RMSE; Mean; and Range; which are also defined in the data dictionary. In each summary statistics file; each site is associated with five rows of summary statistics data (one row for each metric).,Statistical metrics generated for temperature data collected with Minidot 1,Column header,numeric
Temperature_Minidot2,Temperature units vary by metric.,Statistical metrics generated for temperature data collected with Minidot Logger 2 (i.e.; sample) using a specified InstallationMethod_ID. Five metrics were calculated for each sample at every site; including lm_slope; R_square; RMSE; Mean; and Range; which are also defined in the data dictionary. In each summary statistics file; each site is associated with five rows of summary statistics data (one row for each metric).,Statistical metrics generated for temperature data collected with Minidot 2,Column header,numeric
Temperature_Minidot3,Temperature units vary by metric.,Statistical metrics generated for temperature data collected with Minidot Logger 3 (i.e.; sample) using a specified InstallationMethod_ID. Five metrics were calculated for each sample at every site; including lm_slope; R_square; RMSE; Mean; and Range; which are also defined in the data dictionary. In each summary statistics file; each site is associated with five rows of summary statistics data (one row for each metric).,Statistical metrics generated for temperature data collected with Minidot 3,Column header,numeric
Dissolved_Oxygen_Minidot1,Dissolved oxygen units vary by metric.,Statistical metrics generated for dissolved oxygen (mg/L) data collected with Minidot Logger 1 (i.e.; sample) using a specified InstallationMethod_ID. Five metrics were calculated for each sample at every site; including lm_slope; R_square; RMSE; Mean; and Range; which are also defined in the data dictionary. In each summary statistics file; each site is associated with five rows of summary statistics data (one row for each metric).,Statistical metrics generated for dissolved oxygen data (mg/L) collected with Minidot 1,Column header,numeric
Dissolved_Oxygen_Minidot2,Dissolved oxygen units vary by metric.,Statistical metrics generated for dissolved oxygen (mg/L) data collected with Minidot Logger 2 (i.e.; sample) using a specified InstallationMethod_ID. Five metrics were calculated for each sample at every site; including lm_slope; R_square; RMSE; Mean; and Range; which are also defined in the data dictionary. In each summary statistics file; each site is associated with five rows of summary statistics data (one row for each metric).,Statistical metrics generated for dissolved oxygen data (mg/L) collected with Minidot 2,Column header,numeric
Dissolved_Oxygen_Minidot3,Dissolved oxygen units vary by metric.,Statistical metrics generated for dissolved oxygen (mg/L) data collected with Minidot Logger 3 (i.e.; sample) using a specified InstallationMethod_ID. Five metrics were calculated for each sample at every site; including lm_slope; R_square; RMSE; Mean; and Range; which are also defined in the data dictionary. In each summary statistics file; each site is associated with five rows of summary statistics data (one row for each metric).,Statistical metrics generated for dissolved oxygen data (mg/L) collected with Minidot 3,Column header,numeric
Dissolved_Oxygen_Saturation_Minidot1,Dissolved oxygen percent saturation units vary by metric.,Statistical metrics generated for dissolved oxygen percent saturation data collected with Minidot Logger 1 (i.e.; sample) using a specified InstallationMethod_ID. Five metrics were calculated for each sample at every site; including lm_slope; R_square; RMSE; Mean; and Range; which are also defined in the data dictionary. In each sensor summary statistics file; each site is associated with five rows of summary statistics data (one row for each metric).,Statistical metrics generated for dissolved oxygen percent saturation data collected with Minidot 1,Column header,numeric
Dissolved_Oxygen_Saturation_Minidot2,Dissolved oxygen percent saturation units vary by metric.,Statistical metrics generated for dissolved oxygen percent saturation data collected with Minidot Logger 2 (i.e.; sample) using a specified InstallationMethod_ID. Five metrics were calculated for each sample at every site; including lm_slope; R_square; RMSE; Mean; and Range; which are also defined in the data dictionary. In each sensor summary statistics file; each site is associated with five rows of summary statistics data (one row for each metric).,Statistical metrics generated for dissolved oxygen percent saturation data collected with Minidot 2,Column header,numeric
Dissolved_Oxygen_Saturation_Minidot3,Dissolved oxygen percent saturation units vary by metric.,Statistical metrics generated for dissolved oxygen percent saturation data collected with Minidot Logger 3 (i.e.; sample)using a specified InstallationMethod_ID. Five metrics were calculated for each sample at every site; including lm_slope; R_square; RMSE; Mean; and Range; which are also defined in the data dictionary. In each sensor summary statistics file; each site is associated with five rows of summary statistics data (one row for each metric).,Statistical metrics generated for dissolved oxygen percent saturation data collected with Minidot 3,Column header,numeric
IGSN,N/A,International Geo Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration),text,column_header,
Other_Name,N/A,Alternate name used for site in addition to site ID listed in Sample_Name column.,text,column_header,
Primary_Physiographic_Feature,N/A,Type of physical feature that sample was collected from (suggested vocabulary from SESAR).,text,column_header,
Physiographic_Feature_Name,N/A,Name of the phsyiographic feautre (river).,text,column_header,
State_or_Province,N/A,State or province.,text,column_header,
Country,N/A,Country where sample was collected.,text,column_header,
Field_Program_Cruise,N/A,Name of field program or cruise registered in the SESAR system.,text,column_header,
